Format: p[node, period]
p[124,7] = 22.94
p[124,8] = 23.33
p[124,9] = 24.15
p[124,10] = 24.15
p[124,11] = 24.15
p[124,12] = 24.15
p[124,13] = 24.15
p[124,14] = 24.15
p[124,15] = 24.15
p[124,16] = 24.15
p[124,17] = 24.15
p[124,18] = 24.15
p[124,19] = 24.15
p[124,20] = 24.15
p[124,21] = 24.15
p[124,22] = 23.3
p[124,23] = 22.84
p[124,24] = 21.75
p[110,1] = 22.67
p[110,2] = 22.65
p[110,3] = 22.45
p[110,4] = 22.45
p[110,5] = 22.45
p[110,6] = 22.45
p[110,7] = 22.94
p[110,8] = 23.33
p[110,9] = 24.15
p[110,10] = 24.15
p[110,11] = 24.15
p[110,12] = 24.15
p[110,13] = 24.15
p[110,14] = 24.15
p[110,15] = 24.15
p[110,16] = 24.15
p[110,17] = 24.15
p[110,18] = 24.15
p[110,19] = 24.15
p[110,20] = 24.15
p[110,21] = 24.15
p[110,22] = 23.3
p[110,23] = 22.84
p[110,24] = 22.65
p[107,1] = 23.83
p[107,2] = 22.66
p[107,3] = 22.46
p[107,4] = 22.46
p[107,5] = 22.46
p[107,6] = 22.46
p[107,7] = 23.83
p[107,8] = 24.15
p[107,9] = 24.15
p[107,10] = 24.15
p[107,11] = 24.15
p[107,12] = 24.15
p[107,13] = 24.15
p[107,14] = 24.15
p[107,15] = 24.15
p[107,16] = 24.15
p[107,17] = 24.15
p[107,18] = 24.15
p[107,19] = 24.15
p[107,20] = 24.15
p[107,21] = 24.15
p[107,22] = 24.15
p[107,23] = 23.83
p[107,24] = 22.66
p[108,1] = 23.83
p[108,2] = 22.66
p[108,3] = 22.46
p[108,4] = 22.46
p[108,5] = 22.46
p[108,6] = 22.46
p[108,7] = 23.83
p[108,8] = 24.15
p[108,9] = 24.15
p[108,10] = 24.15
p[108,11] = 24.15
p[108,12] = 24.15
p[108,13] = 24.15
p[108,14] = 24.15
p[108,15] = 24.15
p[108,16] = 24.15
p[108,17] = 24.15
p[108,18] = 24.15
p[108,19] = 24.15
p[108,20] = 24.15
p[108,21] = 24.15
p[108,22] = 24.15
p[108,23] = 23.83
p[108,24] = 22.66
p[111,1] = 22.63
p[111,2] = 22.61
p[111,3] = 22.42
p[111,4] = 22.42
p[111,5] = 22.42
p[111,6] = 22.42
p[111,7] = 22.94
p[111,8] = 23.33
p[111,9] = 24.15
p[111,10] = 24.15
p[111,11] = 24.15
p[111,12] = 24.15
p[111,13] = 24.15
p[111,14] = 24.15
p[111,15] = 24.15
p[111,16] = 24.15
p[111,17] = 24.15
p[111,18] = 24.15
p[111,19] = 24.15
p[111,20] = 24.15
p[111,21] = 24.15
p[111,22] = 23.3
p[111,23] = 22.84
p[111,24] = 22.61
p[112,1] = 22.65
p[112,2] = 22.64
p[112,3] = 22.44
p[112,4] = 22.44
p[112,5] = 22.44
p[112,6] = 22.44
p[112,7] = 22.94
p[112,8] = 23.33
p[112,9] = 24.15
p[112,10] = 24.15
p[112,11] = 24.15
p[112,12] = 24.15
p[112,13] = 24.15
p[112,14] = 24.15
p[112,15] = 24.15
p[112,16] = 24.15
p[112,17] = 24.15
p[112,18] = 24.15
p[112,19] = 24.15
p[112,20] = 24.15
p[112,21] = 24.15
p[112,22] = 23.3
p[112,23] = 22.84
p[112,24] = 22.64
p[113,1] = 22.63
p[113,2] = 22.62
p[113,3] = 22.42
p[113,4] = 22.42
p[113,5] = 22.42
p[113,6] = 22.42
p[113,7] = 22.94
p[113,8] = 23.33
p[113,9] = 24.15
p[113,10] = 24.15
p[113,11] = 24.15
p[113,12] = 24.15
p[113,13] = 24.15
p[113,14] = 24.15
p[113,15] = 24.15
p[113,16] = 24.15
p[113,17] = 24.15
p[113,18] = 24.15
p[113,19] = 24.15
p[113,20] = 24.15
p[113,21] = 24.15
p[113,22] = 23.3
p[113,23] = 22.84
p[113,24] = 22.62
p[114,1] = 22.45
p[114,2] = 22.45
p[114,3] = 22.24
p[114,4] = 22.24
p[114,5] = 22.24
p[114,6] = 22.24
p[114,7] = 22.94
p[114,8] = 23.33
p[114,9] = 24.15
p[114,10] = 24.15
p[114,11] = 24.15
p[114,12] = 24.15
p[114,13] = 24.15
p[114,14] = 24.15
p[114,15] = 24.15
p[114,16] = 24.15
p[114,17] = 24.15
p[114,18] = 24.15
p[114,19] = 24.15
p[114,20] = 24.15
p[114,21] = 24.15
p[114,22] = 23.3
p[114,23] = 22.84
p[114,24] = 22.45
p[123,1] = 22.63
p[123,2] = 22.61
p[123,3] = 22.41
p[123,4] = 22.41
p[123,5] = 22.41
p[123,6] = 22.41
p[123,7] = 22.94
p[123,8] = 23.33
p[123,9] = 24.15
p[123,10] = 24.15
p[123,11] = 24.15
p[123,12] = 24.15
p[123,13] = 24.15
p[123,14] = 24.15
p[123,15] = 24.15
p[123,16] = 24.15
p[123,17] = 24.15
p[123,18] = 24.15
p[123,19] = 24.15
p[123,20] = 24.15
p[123,21] = 24.15
p[123,22] = 23.3
p[123,23] = 22.84
p[123,24] = 22.61
p[215,1] = 22.63
p[215,2] = 22.62
p[215,3] = 22.42
p[215,4] = 22.42
p[215,5] = 22.42
p[215,6] = 22.42
p[215,7] = 22.94
p[215,8] = 23.33
p[215,9] = 24.15
p[215,10] = 24.15
p[215,11] = 24.15
p[215,12] = 24.15
p[215,13] = 24.15
p[215,14] = 24.15
p[215,15] = 24.15
p[215,16] = 24.15
p[215,17] = 24.15
p[215,18] = 24.15
p[215,19] = 24.15
p[215,20] = 24.15
p[215,21] = 24.15
p[215,22] = 23.3
p[215,23] = 22.84
p[215,24] = 22.62
p[116,1] = 22.26
p[116,2] = 22.27
p[116,3] = 22.05
p[116,4] = 22.05
p[116,5] = 22.05
p[116,6] = 22.05
p[116,7] = 22.94
p[116,8] = 23.33
p[116,9] = 24.15
p[116,10] = 24.15
p[116,11] = 24.15
p[116,12] = 24.15
p[116,13] = 24.15
p[116,14] = 24.15
p[116,15] = 24.15
p[116,16] = 24.15
p[116,17] = 24.15
p[116,18] = 24.15
p[116,19] = 24.15
p[116,20] = 24.15
p[116,21] = 24.15
p[116,22] = 23.3
p[116,23] = 22.84
p[116,24] = 22.27
p[115,1] = 21.9
p[115,2] = 21.94
p[115,3] = 21.69
p[115,4] = 21.69
p[115,5] = 21.69
p[115,6] = 21.69
p[115,7] = 22.94
p[115,8] = 23.33
p[115,9] = 24.15
p[115,10] = 24.15
p[115,11] = 24.15
p[115,12] = 24.15
p[115,13] = 24.15
p[115,14] = 24.15
p[115,15] = 24.15
p[115,16] = 24.15
p[115,17] = 24.15
p[115,18] = 24.15
p[115,19] = 24.15
p[115,20] = 24.15
p[115,21] = 24.15
p[115,22] = 23.3
p[115,23] = 22.84
p[115,24] = 21.94
p[121,1] = 21.99
p[121,2] = 22.03
p[121,3] = 21.78
p[121,4] = 21.78
p[121,5] = 21.78
p[121,6] = 21.78
p[121,7] = 22.94
p[121,8] = 23.33
p[121,9] = 24.15
p[121,10] = 24.15
p[121,11] = 24.15
p[121,12] = 24.15
p[121,13] = 24.15
p[121,14] = 24.15
p[121,15] = 24.15
p[121,16] = 24.15
p[121,17] = 24.15
p[121,18] = 24.15
p[121,19] = 24.15
p[121,20] = 24.15
p[121,21] = 24.15
p[121,22] = 23.3
p[121,23] = 22.84
p[121,24] = 22.03
p[117,1] = 22.08
p[117,2] = 22.11
p[117,3] = 21.87
p[117,4] = 21.87
p[117,5] = 21.87
p[117,6] = 21.87
p[117,7] = 22.94
p[117,8] = 23.33
p[117,9] = 24.15
p[117,10] = 24.15
p[117,11] = 24.15
p[117,12] = 24.15
p[117,13] = 24.15
p[117,14] = 24.15
p[117,15] = 24.15
p[117,16] = 24.15
p[117,17] = 24.15
p[117,18] = 24.15
p[117,19] = 24.15
p[117,20] = 24.15
p[117,21] = 24.15
p[117,22] = 23.3
p[117,23] = 22.84
p[117,24] = 22.11
p[119,1] = 22.4
p[119,2] = 22.4
p[119,3] = 22.18
p[119,4] = 22.18
p[119,5] = 22.18
p[119,6] = 22.18
p[119,7] = 22.94
p[119,8] = 23.33
p[119,9] = 24.15
p[119,10] = 24.15
p[119,11] = 24.15
p[119,12] = 24.15
p[119,13] = 24.15
p[119,14] = 24.15
p[119,15] = 24.15
p[119,16] = 24.15
p[119,17] = 24.15
p[119,18] = 24.15
p[119,19] = 24.15
p[119,20] = 24.15
p[119,21] = 24.15
p[119,22] = 23.3
p[119,23] = 22.84
p[119,24] = 22.4
p[118,1] = 22.03
p[118,2] = 22.06
p[118,3] = 21.81
p[118,4] = 21.81
p[118,5] = 21.81
p[118,6] = 21.81
p[118,7] = 22.94
p[118,8] = 23.33
p[118,9] = 24.15
p[118,10] = 24.15
p[118,11] = 24.15
p[118,12] = 24.15
p[118,13] = 24.15
p[118,14] = 24.15
p[118,15] = 24.15
p[118,16] = 24.15
p[118,17] = 24.15
p[118,18] = 24.15
p[118,19] = 24.15
p[118,20] = 24.15
p[118,21] = 24.15
p[118,22] = 23.3
p[118,23] = 22.84
p[118,24] = 22.06
p[122,1] = 22.05
p[122,2] = 22.08
p[122,3] = 21.84
p[122,4] = 21.84
p[122,5] = 21.84
p[122,6] = 21.84
p[122,7] = 22.94
p[122,8] = 23.33
p[122,9] = 24.15
p[122,10] = 24.15
p[122,11] = 24.15
p[122,12] = 24.15
p[122,13] = 24.15
p[122,14] = 24.15
p[122,15] = 24.15
p[122,16] = 24.15
p[122,17] = 24.15
p[122,18] = 24.15
p[122,19] = 24.15
p[122,20] = 24.15
p[122,21] = 24.15
p[122,22] = 23.3
p[122,23] = 22.84
p[122,24] = 22.08
p[120,1] = 22.48
p[120,2] = 22.48
p[120,3] = 22.27
p[120,4] = 22.27
p[120,5] = 22.27
p[120,6] = 22.27
p[120,7] = 22.94
p[120,8] = 23.33
p[120,9] = 24.15
p[120,10] = 24.15
p[120,11] = 24.15
p[120,12] = 24.15
p[120,13] = 24.15
p[120,14] = 24.15
p[120,15] = 24.15
p[120,16] = 24.15
p[120,17] = 24.15
p[120,18] = 24.15
p[120,19] = 24.15
p[120,20] = 24.15
p[120,21] = 24.15
p[120,22] = 23.3
p[120,23] = 22.84
p[120,24] = 22.48
gamma[101, 102, 1] = 0.0
gamma[101, 102, 2] = 0.0
gamma[101, 102, 3] = 0.0
gamma[101, 102, 4] = 0.0
gamma[101, 102, 5] = 0.0
gamma[101, 102, 6] = 0.0
gamma[101, 102, 7] = 0.0
gamma[101, 102, 8] = 0.0
gamma[101, 102, 9] = 0.0
gamma[101, 102, 10] = 0.0
gamma[101, 102, 11] = 0.0
gamma[101, 102, 12] = 0.0
gamma[101, 102, 13] = 0.0
gamma[101, 102, 14] = 0.0
gamma[101, 102, 15] = 0.0
gamma[101, 102, 16] = 0.0
gamma[101, 102, 17] = 0.0
gamma[101, 102, 18] = 0.0
gamma[101, 102, 19] = 0.0
gamma[101, 102, 20] = 0.0
gamma[101, 102, 21] = 0.0
gamma[101, 102, 22] = 0.0
gamma[101, 102, 23] = 0.0
gamma[101, 102, 24] = 0.0
gamma[101, 103, 1] = 0.0
gamma[101, 103, 2] = 0.0
gamma[101, 103, 3] = 0.0
gamma[101, 103, 4] = 0.0
gamma[101, 103, 5] = 0.0
gamma[101, 103, 6] = 0.0
gamma[101, 103, 7] = 0.0
gamma[101, 103, 8] = 0.0
gamma[101, 103, 9] = 0.0
gamma[101, 103, 10] = 0.0
gamma[101, 103, 11] = 0.0
gamma[101, 103, 12] = 0.0
gamma[101, 103, 13] = 0.0
gamma[101, 103, 14] = 0.0
gamma[101, 103, 15] = 0.0
gamma[101, 103, 16] = 0.0
gamma[101, 103, 17] = 0.0
gamma[101, 103, 18] = 0.0
gamma[101, 103, 19] = 0.0
gamma[101, 103, 20] = 0.0
gamma[101, 103, 21] = 0.0
gamma[101, 103, 22] = 0.0
gamma[101, 103, 23] = 0.0
gamma[101, 103, 24] = 0.0
gamma[101, 105, 1] = 0.0
gamma[101, 105, 2] = 0.0
gamma[101, 105, 3] = 0.0
gamma[101, 105, 4] = 0.0
gamma[101, 105, 5] = 0.0
gamma[101, 105, 6] = 0.0
gamma[101, 105, 7] = 0.0
gamma[101, 105, 8] = 0.0
gamma[101, 105, 9] = 0.0
gamma[101, 105, 10] = 0.0
gamma[101, 105, 11] = 0.0
gamma[101, 105, 12] = 0.0
gamma[101, 105, 13] = 0.0
gamma[101, 105, 14] = 0.0
gamma[101, 105, 15] = 0.0
gamma[101, 105, 16] = 0.0
gamma[101, 105, 17] = 0.0
gamma[101, 105, 18] = 0.0
gamma[101, 105, 19] = 0.0
gamma[101, 105, 20] = 0.0
gamma[101, 105, 21] = 0.0
gamma[101, 105, 22] = 0.0
gamma[101, 105, 23] = 0.0
gamma[101, 105, 24] = 0.0
gamma[102, 101, 1] = 0.0
gamma[102, 101, 2] = 0.0
gamma[102, 101, 3] = 0.0
gamma[102, 101, 4] = 0.0
gamma[102, 101, 5] = 0.0
gamma[102, 101, 6] = 0.0
gamma[102, 101, 7] = 0.0
gamma[102, 101, 8] = 0.0
gamma[102, 101, 9] = 0.0
gamma[102, 101, 10] = 0.0
gamma[102, 101, 11] = 0.0
gamma[102, 101, 12] = 0.0
gamma[102, 101, 13] = 0.0
gamma[102, 101, 14] = 0.0
gamma[102, 101, 15] = 0.0
gamma[102, 101, 16] = 0.0
gamma[102, 101, 17] = 0.0
gamma[102, 101, 18] = 0.0
gamma[102, 101, 19] = 0.0
gamma[102, 101, 20] = 0.0
gamma[102, 101, 21] = 0.0
gamma[102, 101, 22] = 0.0
gamma[102, 101, 23] = 0.0
gamma[102, 101, 24] = 0.0
gamma[102, 104, 1] = 0.0
gamma[102, 104, 2] = 0.0
gamma[102, 104, 3] = 0.0
gamma[102, 104, 4] = 0.0
gamma[102, 104, 5] = 0.0
gamma[102, 104, 6] = 0.0
gamma[102, 104, 7] = 0.0
gamma[102, 104, 8] = 0.0
gamma[102, 104, 9] = 0.0
gamma[102, 104, 10] = 0.0
gamma[102, 104, 11] = 0.0
gamma[102, 104, 12] = 0.0
gamma[102, 104, 13] = 0.0
gamma[102, 104, 14] = 0.0
gamma[102, 104, 15] = 0.0
gamma[102, 104, 16] = 0.0
gamma[102, 104, 17] = 0.0
gamma[102, 104, 18] = 0.0
gamma[102, 104, 19] = 0.0
gamma[102, 104, 20] = 0.0
gamma[102, 104, 21] = 0.0
gamma[102, 104, 22] = 0.0
gamma[102, 104, 23] = 0.0
gamma[102, 104, 24] = 0.0
gamma[102, 106, 1] = 0.0
gamma[102, 106, 2] = 0.0
gamma[102, 106, 3] = 0.0
gamma[102, 106, 4] = 0.0
gamma[102, 106, 5] = 0.0
gamma[102, 106, 6] = 0.0
gamma[102, 106, 7] = 0.0
gamma[102, 106, 8] = 0.0
gamma[102, 106, 9] = 0.0
gamma[102, 106, 10] = 0.0
gamma[102, 106, 11] = 0.0
gamma[102, 106, 12] = 0.0
gamma[102, 106, 13] = 0.0
gamma[102, 106, 14] = 0.0
gamma[102, 106, 15] = 0.0
gamma[102, 106, 16] = 0.0
gamma[102, 106, 17] = 0.0
gamma[102, 106, 18] = 0.0
gamma[102, 106, 19] = 0.0
gamma[102, 106, 20] = 0.0
gamma[102, 106, 21] = 0.0
gamma[102, 106, 22] = 0.0
gamma[102, 106, 23] = 0.0
gamma[102, 106, 24] = 0.0
gamma[103, 101, 1] = 0.0
gamma[103, 101, 2] = 0.0
gamma[103, 101, 3] = 0.0
gamma[103, 101, 4] = 0.0
gamma[103, 101, 5] = 0.0
gamma[103, 101, 6] = 0.0
gamma[103, 101, 7] = 0.0
gamma[103, 101, 8] = 0.0
gamma[103, 101, 9] = 0.0
gamma[103, 101, 10] = 0.0
gamma[103, 101, 11] = 0.0
gamma[103, 101, 12] = 0.0
gamma[103, 101, 13] = 0.0
gamma[103, 101, 14] = 0.0
gamma[103, 101, 15] = 0.0
gamma[103, 101, 16] = 0.0
gamma[103, 101, 17] = 0.0
gamma[103, 101, 18] = 0.0
gamma[103, 101, 19] = 0.0
gamma[103, 101, 20] = 0.0
gamma[103, 101, 21] = 0.0
gamma[103, 101, 22] = 0.0
gamma[103, 101, 23] = 0.0
gamma[103, 101, 24] = 0.0
gamma[103, 109, 1] = 0.0
gamma[103, 109, 2] = 0.0
gamma[103, 109, 3] = 0.0
gamma[103, 109, 4] = 0.0
gamma[103, 109, 5] = 0.0
gamma[103, 109, 6] = 0.0
gamma[103, 109, 7] = 0.0
gamma[103, 109, 8] = 0.0
gamma[103, 109, 9] = 0.0
gamma[103, 109, 10] = 0.0
gamma[103, 109, 11] = 0.0
gamma[103, 109, 12] = 0.0
gamma[103, 109, 13] = 0.0
gamma[103, 109, 14] = 0.0
gamma[103, 109, 15] = 0.0
gamma[103, 109, 16] = 0.0
gamma[103, 109, 17] = 0.0
gamma[103, 109, 18] = 0.0
gamma[103, 109, 19] = 0.0
gamma[103, 109, 20] = 0.0
gamma[103, 109, 21] = 0.0
gamma[103, 109, 22] = 0.0
gamma[103, 109, 23] = 0.0
gamma[103, 109, 24] = 0.0
gamma[103, 124, 1] = 0.0
gamma[103, 124, 2] = 0.0
gamma[103, 124, 3] = -1.46
gamma[103, 124, 4] = 0.0
gamma[103, 124, 5] = 0.0
gamma[103, 124, 6] = -1.46
gamma[103, 124, 7] = 0.0
gamma[103, 124, 8] = 0.0
gamma[103, 124, 9] = 0.0
gamma[103, 124, 10] = 0.0
gamma[103, 124, 11] = 0.0
gamma[103, 124, 12] = 0.0
gamma[103, 124, 13] = 0.0
gamma[103, 124, 14] = 0.0
gamma[103, 124, 15] = 0.0
gamma[103, 124, 16] = 0.0
gamma[103, 124, 17] = 0.0
gamma[103, 124, 18] = 0.0
gamma[103, 124, 19] = 0.0
gamma[103, 124, 20] = 0.0
gamma[103, 124, 21] = 0.0
gamma[103, 124, 22] = 0.0
gamma[103, 124, 23] = 0.0
gamma[103, 124, 24] = 0.0
gamma[105, 101, 1] = 0.0
gamma[105, 101, 2] = 0.0
gamma[105, 101, 3] = 0.0
gamma[105, 101, 4] = 0.0
gamma[105, 101, 5] = 0.0
gamma[105, 101, 6] = 0.0
gamma[105, 101, 7] = 0.0
gamma[105, 101, 8] = 0.0
gamma[105, 101, 9] = 0.0
gamma[105, 101, 10] = 0.0
gamma[105, 101, 11] = 0.0
gamma[105, 101, 12] = 0.0
gamma[105, 101, 13] = 0.0
gamma[105, 101, 14] = 0.0
gamma[105, 101, 15] = 0.0
gamma[105, 101, 16] = 0.0
gamma[105, 101, 17] = 0.0
gamma[105, 101, 18] = 0.0
gamma[105, 101, 19] = 0.0
gamma[105, 101, 20] = 0.0
gamma[105, 101, 21] = 0.0
gamma[105, 101, 22] = 0.0
gamma[105, 101, 23] = 0.0
gamma[105, 101, 24] = 0.0
gamma[105, 110, 1] = 0.0
gamma[105, 110, 2] = 0.0
gamma[105, 110, 3] = 0.0
gamma[105, 110, 4] = 0.0
gamma[105, 110, 5] = 0.0
gamma[105, 110, 6] = 0.0
gamma[105, 110, 7] = 0.0
gamma[105, 110, 8] = 0.0
gamma[105, 110, 9] = 0.0
gamma[105, 110, 10] = 0.0
gamma[105, 110, 11] = 0.0
gamma[105, 110, 12] = 0.0
gamma[105, 110, 13] = 0.0
gamma[105, 110, 14] = 0.0
gamma[105, 110, 15] = 0.0
gamma[105, 110, 16] = 0.0
gamma[105, 110, 17] = 0.0
gamma[105, 110, 18] = 0.0
gamma[105, 110, 19] = 0.0
gamma[105, 110, 20] = 0.0
gamma[105, 110, 21] = 0.0
gamma[105, 110, 22] = 0.0
gamma[105, 110, 23] = 0.0
gamma[105, 110, 24] = 0.0
gamma[104, 102, 1] = 0.0
gamma[104, 102, 2] = 0.0
gamma[104, 102, 3] = 0.0
gamma[104, 102, 4] = 0.0
gamma[104, 102, 5] = 0.0
gamma[104, 102, 6] = 0.0
gamma[104, 102, 7] = 0.0
gamma[104, 102, 8] = 0.0
gamma[104, 102, 9] = 0.0
gamma[104, 102, 10] = 0.0
gamma[104, 102, 11] = 0.0
gamma[104, 102, 12] = 0.0
gamma[104, 102, 13] = 0.0
gamma[104, 102, 14] = 0.0
gamma[104, 102, 15] = 0.0
gamma[104, 102, 16] = 0.0
gamma[104, 102, 17] = 0.0
gamma[104, 102, 18] = 0.0
gamma[104, 102, 19] = 0.0
gamma[104, 102, 20] = 0.0
gamma[104, 102, 21] = 0.0
gamma[104, 102, 22] = 0.0
gamma[104, 102, 23] = 0.0
gamma[104, 102, 24] = 0.0
gamma[104, 109, 1] = 0.0
gamma[104, 109, 2] = 0.0
gamma[104, 109, 3] = 0.0
gamma[104, 109, 4] = 0.0
gamma[104, 109, 5] = 0.0
gamma[104, 109, 6] = 0.0
gamma[104, 109, 7] = 0.0
gamma[104, 109, 8] = 0.0
gamma[104, 109, 9] = 0.0
gamma[104, 109, 10] = 0.0
gamma[104, 109, 11] = 0.0
gamma[104, 109, 12] = 0.0
gamma[104, 109, 13] = 0.0
gamma[104, 109, 14] = 0.0
gamma[104, 109, 15] = 0.0
gamma[104, 109, 16] = 0.0
gamma[104, 109, 17] = 0.0
gamma[104, 109, 18] = 0.0
gamma[104, 109, 19] = 0.0
gamma[104, 109, 20] = 0.0
gamma[104, 109, 21] = 0.0
gamma[104, 109, 22] = 0.0
gamma[104, 109, 23] = 0.0
gamma[104, 109, 24] = 0.0
gamma[106, 102, 1] = 0.0
gamma[106, 102, 2] = 0.0
gamma[106, 102, 3] = 0.0
gamma[106, 102, 4] = 0.0
gamma[106, 102, 5] = 0.0
gamma[106, 102, 6] = 0.0
gamma[106, 102, 7] = 0.0
gamma[106, 102, 8] = 0.0
gamma[106, 102, 9] = 0.0
gamma[106, 102, 10] = 0.0
gamma[106, 102, 11] = 0.0
gamma[106, 102, 12] = 0.0
gamma[106, 102, 13] = 0.0
gamma[106, 102, 14] = 0.0
gamma[106, 102, 15] = 0.0
gamma[106, 102, 16] = 0.0
gamma[106, 102, 17] = 0.0
gamma[106, 102, 18] = 0.0
gamma[106, 102, 19] = 0.0
gamma[106, 102, 20] = 0.0
gamma[106, 102, 21] = 0.0
gamma[106, 102, 22] = 0.0
gamma[106, 102, 23] = 0.0
gamma[106, 102, 24] = 0.0
gamma[106, 110, 1] = 0.0
gamma[106, 110, 2] = 0.0
gamma[106, 110, 3] = 0.0
gamma[106, 110, 4] = 0.0
gamma[106, 110, 5] = 0.0
gamma[106, 110, 6] = 0.0
gamma[106, 110, 7] = 0.0
gamma[106, 110, 8] = 0.0
gamma[106, 110, 9] = 0.0
gamma[106, 110, 10] = 0.0
gamma[106, 110, 11] = 0.0
gamma[106, 110, 12] = 0.0
gamma[106, 110, 13] = 0.0
gamma[106, 110, 14] = 0.0
gamma[106, 110, 15] = 0.0
gamma[106, 110, 16] = 0.0
gamma[106, 110, 17] = 0.0
gamma[106, 110, 18] = 0.0
gamma[106, 110, 19] = 0.0
gamma[106, 110, 20] = 0.0
gamma[106, 110, 21] = 0.0
gamma[106, 110, 22] = 0.0
gamma[106, 110, 23] = 0.0
gamma[106, 110, 24] = 0.0
gamma[109, 103, 1] = 0.0
gamma[109, 103, 2] = 0.0
gamma[109, 103, 3] = 0.0
gamma[109, 103, 4] = 0.0
gamma[109, 103, 5] = 0.0
gamma[109, 103, 6] = 0.0
gamma[109, 103, 7] = 0.0
gamma[109, 103, 8] = 0.0
gamma[109, 103, 9] = 0.0
gamma[109, 103, 10] = 0.0
gamma[109, 103, 11] = 0.0
gamma[109, 103, 12] = 0.0
gamma[109, 103, 13] = 0.0
gamma[109, 103, 14] = 0.0
gamma[109, 103, 15] = 0.0
gamma[109, 103, 16] = 0.0
